bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
f;e;;;f;;;;;;;;;;;;;;;;;;p
;;;;f;;;;;;;;;;w;;?;t;;;;;p
;;;;f;;;c;;f;;;;;;p;;;;;;;p
;;;;f;;;c;;f;;;;;;;;t;;;;;p
f;;;;f;;;c;;;;;;;;;;;k;;;;p
f;;;y;;;;c;;;;;;;;;;;k;;;;p
;;;;f;;;;;;;;;;;w;?;t;;;;;p
;;;;f;;;;;;;;;;;;?;t;;s;;;p
;;;;f;;;c;;f;;;;;p;;;;;;;;p
;;;;f;;;;;;;;;;;;?;t;s;;;;p
f;;;;;;;;d;;;;;;;;;;k;;w;p;p
f;;;;f;;;c;;f;;;;;;;;;;k;;;p
;;;s;f;;;c;;;;;;;w;;;t;;;;;p
f;;;;f;;;c;;;;;;;p;;;;;k;;;p
f;;;;f;;;c;;;;;;;;p;;;;k;;;p
f;;;;;;;c;;;;;;;;;;;k;;w;p;p
f;;;;f;;;;;;;;;;;;?;t;;k;;;p
;;;;f;;;c;;;;;;;p;;?;t;;;;;p
;;;s;;;;;;;v;;;;;;?;;;;w;p;p
;;;;f;;;c;;;;;;;;p;?;t;;;;;p
;;;s;f;;;c;;;;;;;;w;;t;;;;;p
f;;;;;;;;;;;o;;;;;;;k;;w;p;p
;;;;f;;b;c;;f;;;;;;;;e;;;;;p
f;;;;f;;;;;;;;;;;;?;t;k;;;;p
;;;;;;;c;;;v;o;;w;;;;;;;w;p;p
;;;;;;;;;;v;o;;w;;;?;;;;w;p;p
;;;;f;;;c;;f;;o;;;;;;;;;w;p;p
;;;s;;;;c;;;v;o;;;;;;;;;w;p;p
f;e;;;;;;c;;;;;;w;;;;;;;w;p;p
f;;;s;;;;c;;;;o;;;;;;;;;w;p;p
f;;;s;;;;;;;v;o;;;;;;;;;w;p;p
;;;;f;;;;;;;o;;w;;w;;;;;w;p;p
f;;;;;;b;;;;;o;;;;;;e;;;w;p;p
;;;;;;;;;;v;;;w;;;?;;;s;w;p;p
;;;;;;;;;;v;o;;w;;;?;;;s;;p;p
f;;;;f;;;;;;;o;;;;;;;;k;w;p;p
f;;;;;;;;;;v;;;w;;;?;;k;;w;p;p
f;;;s;f;;n;;;;;o;;;;;;;;;w;p;p
f;;;;f;;;c;;;;o;;;;p;;;;;w;p;p
;;;;f;;;;;;v;o;e;;;w;;;;;w;p;p
;;;;f;;;;;;v;;e;w;;w;;;;;w;p;p
;;;;f;;b;;;;;o;;;;;b;e;;;w;p;p
f;;;;f;;;c;;;;o;;;p;;;;;;w;p;p
;;;s;f;;;c;;;;o;;;;;;t;;;w;p;p
;n;;;;;;c;;;v;o;;w;;;?;;;;;p;p
;n;;;;;;c;;;v;;;w;;;?;;;;w;p;p
;;;;f;;;c;;;;o;;;;;b;e;;;w;p;p
;;;;f;;;;;;v;o;e;;;;;t;;;w;p;p
;;;;f;;n;;;;;o;;w;;;;t;;;w;p;p
;g;;;f;;;;;;;o;;;;;b;e;;;w;p;p
;e;;;f;;;c;;;;o;;w;;;;;;;w;p;p
;e;;;f;;;c;;;;o;;;;;?;;;;w;p;p
;;;;f;;;c;;;;o;;h;;;b;;;;w;p;p
f;;;;f;;;c;p;;;o;;;;;;;;;w;p;p
;;;;f;;;c;p;;v;o;;;;;;;;;w;p;p
;;;s;f;;;;;;v;;e;w;;;;;;;w;p;p
;;;s;f;;;;;;v;o;e;;;;;;;;w;p;p
f;;;s;f;;;;;;;;e;;;;?;;;;w;p;p
;;;s;f;;n;c;;;;o;;;;;;;;;w;p;p
f;;;s;f;;;;;;;o;e;w;;;;;;;w;p;p
f;;;;f;;;;;;v;;;w;;;?;;;k;w;p;p
;n;;;f;;;c;;;v;;e;w;;;;;;;w;p;p
f;n;;;f;;;c;;;;o;;w;;;;;;;w;p;p
;;;;f;;b;c;;;;;;h;;;b;e;;;w;p;p
f;n;;;f;;;;;;;o;e;w;;;;t;;;w;p;p
