Attribute 0;Attribute 1;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 2;Attribute 20;Attribute 21;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 22
e;;e;?;s;;w;;;;;;;;;;;n;;c;b;;w
e;;e;?;;;;w;;;t;;;w;;;t;n;;;;;w
e;;e;?;s;;;w;;;;;;;;;;n;;c;b;;w
e;;e;?;s;;;;;w;;;;;;;;n;;c;b;;w
;;e;;s;;;;;;;;;w;c;n;;;f;c;b;;w
e;f;e;?;s;;;;;;;;;;;;;n;;;b;w;w
e;f;e;?;s;;w;;;;;;;;;;;n;;;b;;w
;;e;;s;;;;;;;;;w;c;e;;;f;c;b;;w
e;f;e;?;s;;;w;;;;;;;;;;n;;;b;;w
e;;e;?;s;;;;;;;;;;;;;n;;c;b;w;w
e;;e;;s;s;;;;;t;e;;w;;n;t;n;;;;;w
;;;e;;;;;;;;;;n;y;;;;;;;;u
;;;e;;;;;;;;;;k;y;;;;;;;;u
;;;e;;;;;;;;;;;y;n;;;;;;;u
;;;e;;;;;;;;;;;y;g;;;;;;;u
e;;;;;;;;;;;;f;;y;;f;;;;;;u
;;;;s;;;;;;;;f;;y;;f;;;;;;u
;f;;e;;;;;;;;;f;;;;;;;;n;;u
;x;e;e;;;;;;;;;;;;;;n;;;;;u
;;e;;;;;;;;;p;;k;v;;;n;;;;;u
;;e;;s;;;;;;;;;;y;g;f;;;;;;u
;;;e;;;w;w;;;;p;;;;;f;;;;;;u
;;e;;;;;;;;;p;;n;v;;;n;;;n;;u
;;e;;;;;;;;;p;f;;v;;;n;;;n;;u
;;e;e;;;;;;;;p;;;v;;;n;;;n;;u
e;;;;;s;w;w;;;;;;;v;;f;;;;;;u
;;;;;s;w;w;;;;;;;v;;f;n;;;;;u
;f;e;;;s;w;w;;;;;;;;;f;;;;;;u
e;;;;;;w;w;;;;;f;;;;f;;;;n;;u
e;;;;;s;w;w;;;;;;;;;f;;;;n;;u
e;;;;s;;;;;w;;p;;;;;f;;;c;;;u
e;;;;;;w;;;;;p;;;;;f;n;;;;n;u
e;;;;;;w;;;;;p;;n;;;f;n;;;;;u
e;;e;;s;;;;;;;p;;;y;;f;;;;;;u
e;;e;;;;w;;;;;p;;;y;;f;;;;;;u
;;e;;;;;;;;;p;;;v;g;;n;;;n;;u
;;e;;;;;;;;;p;f;;v;n;;n;;;;;u
;;e;;;;;;;;;p;;;v;n;;n;;;n;;u
;;e;;s;;;;;;o;;;;y;g;;;;c;;;u
e;;;;;;;;;w;o;;;;;n;f;;;c;;;u
;;e;;s;;w;;;;;;;;;n;f;;;c;;;u
;;e;;;;w;w;;;;;;;;n;f;;;;n;;u
e;;;;;s;w;w;;;;p;;k;;;f;;;;;;u
e;;;;;;w;w;;;;p;;k;;;f;n;;;;;u
e;;;;;;w;w;;;;p;f;k;;;f;;;;;;u
e;;e;;;s;w;;;;;p;;n;;;f;;;;;;u
e;;;;s;s;w;;;;;;;;;n;f;;;c;;;u
;;e;;s;;;;;w;o;;;;;n;f;;;c;;;u
e;;;;s;s;w;;;;;;;;v;;f;;;c;;;u
;;;;s;s;w;;;;;;;;v;;f;n;;c;;;u
e;;;;;;w;w;;;;;f;;v;;f;n;;;;;u
e;;;;;;w;w;;;;;f;;v;g;f;;;;;;u
e;;;;;;w;w;;;;p;;n;;g;f;;;;;;u
e;;;;s;s;w;;;;o;;;;;;f;;;c;;;u
;;;;s;s;w;;;;o;;;;;;f;n;;c;;;u
;;;;s;s;;;;w;o;;;;;;f;n;;c;;;u
e;;;;s;s;w;;;;o;p;;;;;f;;;;;;u
e;;;;s;s;;;;w;o;p;;;;;f;;;;;;u
;;e;;s;s;;;;w;o;;;;;;;n;;c;;;u
e;;;;s;s;;;;w;o;;;;;;f;;;c;;;u
;;;e;s;s;w;w;;;;;;;;;f;;;c;;;u
;;e;;;s;w;w;;;;;;;;;f;n;;;n;;u
e;;;;s;s;w;w;;;;;;;;;;;;c;n;;u
;;e;;s;s;w;;;;o;;;;;;;n;;c;;;u
e;;e;;;s;w;;;;;p;;n;;n;;;;;;;u
e;;e;;;s;w;;;;;p;;;;;f;;;;;n;u
e;;;;;;w;w;;;;p;;k;;g;f;;;;;;u
e;;;;;;w;w;;;;p;;k;v;;f;;;;;;u
e;f;;;s;s;w;;;;;;;;;;f;;;c;;;u
;f;e;;s;s;w;;;;;;;;;;f;;;c;;;u
;f;;;s;s;w;;;;;;;;;;f;n;;c;;;u
e;f;;;;;;;;w;o;p;;;;;f;;;c;;;u
e;;e;;s;s;;;;w;o;;;;v;;;;;c;;;u
e;;e;;s;s;w;;;;o;;;;v;;;;;c;;;u
e;;e;;;s;w;w;;;;p;;n;y;;;;;;;;u
e;;e;;s;s;;;;w;o;;;;;n;;;;c;;;u
e;;e;;s;s;w;;;;o;;;;;n;;;;c;;;u
e;;;;;;w;w;;;;p;f;;;n;f;n;;;;;u
e;f;e;;s;s;;;;w;o;;;;;;;;;c;;;u
e;f;e;;s;s;w;;;;o;;;;;;;;;c;;;u
e;f;;;;;w;w;;;;p;f;;;;f;n;;;;;u
;f;e;;s;s;;;;w;o;;;;;;f;;;c;;;u
e;;;;s;s;w;;;;;;;n;;;f;n;;c;;;u
e;;;;s;s;w;;;;;p;;n;;;f;;;c;;;u
e;;e;;;s;w;w;;;;p;;k;y;;;;;;;;u
e;;e;;;s;w;w;;;;p;;k;;n;;;;;;;u
e;;e;;s;s;w;w;;;o;;;;;;f;;;;;;u
;;e;;s;s;w;w;;;o;;;;;;f;n;;;;;u
;;e;;s;s;w;;;;;;;;;;f;n;;c;n;;u
;;e;;s;s;w;w;;;;;;;;;;n;;c;n;;u
e;;;;s;s;w;;;;;;;;;;f;n;;c;;n;u
e;;;;s;s;w;;;;;p;;;;;f;;;c;;n;u
e;;;;s;s;w;w;;;;;;k;;;f;n;;c;;;u
;;e;;s;s;w;w;;;;p;;;;;f;n;;c;;g;u
;;;;;;;;;n;;;;o;;;;;;;;;l
;;;;;;;;;o;;;;;;;;;;;;o;l
;;;;;;;;;n;;;;b;;;;;;;;;l
;;;;;;;;;o;;;;b;;;;;;;;;l
;;;;;;;;;o;;;;o;;;;;;;;;l
;;;;;;;;;n;;;;y;;;;;;;;;l
;;;;;;;;;n;;;;;;;;;;;;o;l
;;;;;;;;;o;;;;y;;;;;;;;;l
;;e;;;;;;;;;e;;;;;;;;w;;;l
;b;;;;;;o;;;;;;;;;;;a;;;;l
;;;;f;;;;;;;;;;v;;;n;;;;;l
;;;;;;;o;;;;;;;;;;;a;;;n;l
;k;;;;;;o;;;;;;;;;;;a;;;;l
;;;;;;;o;;;;;;n;;;;;a;;;;l
;;;;;;;o;;;;;;;c;;;;a;;;;l
;f;;;;;;;;;;;s;;;n;;;a;;;;l
;;;;;;;;;;o;;;;;;;n;;w;;w;l
;;;;;;;;;;;;;;;;;n;;w;n;w;l
;;;;;;;;;;;;y;w;;;;;;w;n;;l
;;e;;;;;;;;;;;;;;;n;;w;n;;l
;;e;;;;;;;;o;;;;;;;n;;w;;;l
;;;;;;;n;;;;;f;;;;;;;w;;w;l
;;e;;;;;;;;o;;;;c;;;n;;;;;l
;;;;;f;;;;;;e;;;v;;;n;;;;;l
;;;;;;;n;;;;;;;;n;;;;w;;w;l
;;;b;;f;;;;;;;;;v;;;n;;;;;l
;;e;;;;;;;;o;;;;;;f;;;;;y;l
e;;;;;;;;;;;e;;;v;;;n;;;;;l
e;;;b;;;;;;;o;;;;;;f;;;;;;l
;f;;;;;;;;;;;;w;;;;;;w;n;;l
;f;;;;;;;;;;;;;;;;n;;w;n;;l
;f;e;;;;;;;;;;;;;;;n;;w;;;l
;;e;b;;;w;;;;o;;y;;;;;;;;;;l
;;;;;;;;;;;p;s;;v;;;n;;;;n;l
;;e;;;;;;;;;;;;;;f;n;;c;;y;l
e;;e;;;;;;;;;;;;c;n;f;;;;;;l
;;e;;;;;;;;;;;;c;;f;n;;c;;;l
;;e;;s;;;;;;;;;;c;n;f;;;;;;l
;;;b;;;w;;;;o;;y;;;;f;;;;;;l
e;k;e;;;;;;;;;;;;v;;;n;;;;;l
;;e;;;s;;;;;o;;;;;;f;;;;b;;l
;;;;;s;;;;;;;;;;n;f;;;c;b;;l
;;;;s;;;;;;;;;;;n;f;;;c;b;;l
;;;;;;;;;;o;;;;;n;f;;;c;b;;l
;;;?;;;;;;;o;;s;;;;f;;;;b;;l
;;;;;;;;;;o;;s;;;;f;;;c;b;;l
;;e;;;s;;;;;o;;;;;;;n;;;b;;l
;;e;;;;;;;;o;;;;;;;n;;c;b;;l
;;e;;s;;;;;;o;;;;;;f;;;;b;;l
;;;;;;;;;;o;;;;;;f;n;;c;b;;l
;;;;s;;;;;;;p;;;;;f;;;c;b;;l
e;;;;;;;;;;o;;;;;;f;;;c;b;;l
;;;;;s;;;;;o;;;;;;f;;;c;b;;l
;;;;s;;;;;;o;;;;;;f;;;c;b;;l
;;;?;s;;;;;;;;;;;n;f;n;;;;;l
;;;;;;;;;;o;;s;;;n;;;;c;b;;l
;x;e;;;;;;;;;;;;;n;;n;a;;;;l
;;;;;;;;;;;e;;;v;n;;n;;w;;;l
;;e;b;;;;n;;;;;f;;;;;n;;;;;l
;;;b;f;;w;;;;;;;;v;;f;;;;;;l
;b;e;;s;;;;;;;;;;c;;;n;;;;;l
;;;b;;;;;;;;e;f;;;;;n;;w;;;l
e;;e;b;;;;;;;;;f;;;;;;;w;;;l
e;;e;b;;;w;;;;o;;;;;;;;;;;;l
e;;;b;;;w;;;;;;f;;;;f;;;;;;l
;;;;s;;;;;;;;;;v;;f;;;c;b;;l
;k;e;;;s;;;;;o;;;;;;;n;;;;;l
e;;;b;;s;w;;;;;;;;;;f;;;;;;l
;;;b;;f;w;;;;;;;;v;;f;;;;;;l
;;;;s;;;;;;o;e;;w;;;;n;;;;;l
e;;;b;s;;w;;;;;;;;;;f;;;;;;l
;;e;b;;;w;;;;o;;;;;;;n;;;;;l
;;;;s;;w;;;;;;;w;;;;n;;;n;;l
;;e;;s;;;;;;o;;;w;;;;n;;;;;l
;k;e;;s;;;;;;o;;;;;;;n;;;;;l
;;;;;s;;;;;o;e;;w;;;;n;;;;;l
;;e;;;s;;;;;o;;;;;;f;;;;;w;l
;f;;;s;;;;;;;;;;;;f;;;c;b;;l
;f;;;;s;;;;;;;;;;;f;;;c;b;;l
;b;e;;;;;;;;;;;;c;;f;n;;;;;l
;;;;;s;w;;;;;;;w;;;;n;;;n;;l
;;e;;;s;;;;;o;;;w;;;;n;;;;;l
;;e;;;s;;;;;o;;;;;;;n;;;;w;l
;;;;;;;;;;;p;s;n;v;;;n;;;;;l
;;e;b;;s;w;;;;;;;;;;;n;;;n;;l
;;e;b;s;;w;;;;;;;;;;;n;;;n;;l
e;;e;;;;;;;;;;f;w;v;;;n;;;;;l
e;;e;;;;;;;;;;f;;v;;;n;;;;w;l
e;;;;;;;;;;;;f;;v;;;n;;;n;w;l
;;e;;;;w;;;;;;;w;;c;f;;;;;w;l
e;;e;;;;;;;;;p;s;;;;f;;;;;n;l
;;e;b;;;;n;;;o;;;;;;f;n;;;;;l
;;e;b;;;w;;;;;;;;;;f;n;;;n;;l
e;;;b;;;w;;;;;;;;v;;f;;;;n;;l
e;;e;;;;w;;;;o;e;;;;;;n;;;;;l
;k;;;s;;;;;;o;;s;;;;f;;;;b;;l
;k;;;s;;;;;;;;s;;;n;f;;;;b;;l
;k;;?;s;;;;;;o;;;;;;f;n;;;;;l
;k;;;;s;;;;;o;;s;;;;f;;;;b;;l
;;;;;s;w;;;;;e;;w;;;f;n;;;;;l
;;e;;;s;w;;;;;;;;v;;f;;;;;w;l
;;;;s;;w;;;;;e;;w;;;f;n;;;;;l
;f;e;?;;;;;;;;p;;;v;;;n;;;;;l
;k;;?;s;;;;;;;;;;v;;f;n;;;;;l
e;k;e;;;;;;;;o;;;;;;f;n;;;;;l
e;;e;;;;;;;;;p;s;n;;;f;;;;;;l
;;;;s;s;;;;;o;p;;;;;f;;;;b;;l
;;;?;s;s;;;;;o;;;;;;f;n;;;;;l
e;;;;s;;;;;;;p;;;;n;f;;;;b;;l
;;;?;s;;;;;;o;;;;;n;;n;;c;;;l
;;e;?;;;;;;;;;;;;n;f;n;;;b;;l
;;;?;s;s;;;;;;;;;v;;f;n;;;;;l
;;e;;s;;;;;;o;;;;v;;;;;c;b;;l
e;f;;;s;;;;;;;p;;;;;f;;;;b;;l
;f;;?;s;s;;;;;;;;;;;f;n;;;;;l
e;f;;;;;;;;;o;;s;;;;;;;c;b;;l
e;;e;;;s;w;;;;o;;;;v;;;;;;;w;l
;;;;;s;w;;;;;e;;;v;;f;n;;;n;;l
e;;e;;;s;w;;;;;e;;;;;f;n;;;;;l
;f;;?;s;s;;;;;;;s;;;;f;;;;b;;l
;f;;?;s;s;;;;;o;;;;;;;n;;c;;;l
;f;e;;s;s;;;;;o;;;;;;;;;c;b;;l
;b;e;?;;;;;;;;;;;v;;f;n;;;b;;l
;b;e;?;;;;;;;;p;;;v;n;;n;;;;;l
e;;e;;;;w;;;;o;;;w;;;f;n;;;;;l
e;;e;;;;w;;;;o;;;w;v;;;n;;;;;l
e;;;;s;s;;;;;;p;;;;;f;;;;b;n;l
;;;;s;s;;;;;;;s;;;n;;;;c;b;n;l
;;;;s;s;;;;;;p;s;;;n;;;;;b;n;l
e;;e;;;;;n;;;;;;w;v;;;n;;;;w;l
;f;;;s;s;;;;;;;s;;v;;f;;;;b;;l
e;k;;;s;;;;;;;;s;;;;f;;;c;b;;l
;k;e;?;;;;;;;o;;;;;;f;n;;;b;;l
;b;e;;s;s;;;;;o;p;;;;;;n;;;;;l
;b;e;?;;;;;;;o;;;;;;f;n;;;b;;l
e;;;;s;s;;;;;;p;;n;;;f;;;;b;;l
;;;;s;s;;;;;;;s;n;;n;;;;c;b;;l
;;;;s;s;;;;;;p;s;n;;n;;;;;b;;l
;;;;s;s;;;;;;;s;;v;n;f;;;;b;;l
e;;;;s;s;;;;;;p;;;v;;f;;;;b;;l
e;;;;s;s;;;;;o;;s;;v;;;;;c;;;l
;;;?;s;s;;;;;;;s;;v;;f;;;;b;;l
;;e;?;;;;;;;;p;s;;v;n;;n;;;;;l
;k;;;s;s;;;;;;;s;;v;;f;;;;b;;l
;k;e;?;;;;;;;;;;;v;;f;n;;;b;;l
e;;e;;;;;;;;;;;;v;n;;n;;;n;w;l
e;;e;;;;w;;;;o;;;;v;n;;;;;;w;l
e;;e;;;;w;;;;;;;w;;n;f;n;;;;;l
e;;e;b;;;w;;;;;;;;;n;f;n;;;;;l
;;e;;s;s;;;;;;p;;;c;;;n;;c;;;l
;;e;;s;s;;;;;o;;;;;n;;;;c;b;;l
;;;?;s;s;;;;;;;s;;;n;f;;;;b;;l
;;;;s;;w;;;;;e;;;v;;f;n;;;n;;l
e;;e;;s;;w;;;;;e;;;;;f;n;;;;;l
e;;;;;;w;;;;o;;f;;;;f;;;w;;w;l
e;;;;;;w;;;;;;f;;v;;f;;;;n;w;l
e;;;;;;w;;;;;;f;;v;;f;n;;;;w;l
e;;;;;;w;;;;o;;f;;;;f;n;;;;w;l
e;;e;;;;w;;;;o;;f;;;;f;;;w;;;l
e;;e;b;;;;;;;;;f;;v;;;n;;;n;;l
e;;;;;;w;;;;;;f;;v;;f;;;w;;w;l
e;;e;;;;w;;;;o;;y;w;;;;n;;;;;l
e;k;e;;s;s;;;;;;;;;;n;f;n;;;;;l
e;;e;;s;s;;;;;;p;;n;;n;;;;;b;;l
e;;;;s;s;;;;;;p;s;n;;;f;n;;;;;l
e;;;;s;s;;;;;;;;n;;;f;n;;c;b;;l
e;f;;;s;s;;;;;o;p;s;;;;;;;c;;;l
e;f;e;?;s;;;;;;;;;;;;f;n;;;b;;l
;f;;?;s;s;;;;;o;;s;;;;;;;c;b;;l
e;;e;?;s;;;;;;;;;;v;;f;n;;;b;;l
e;;e;;;;;n;;;o;;;w;;;f;n;;;;w;l
e;;;;s;s;;;;;;;;;;;f;n;;c;b;n;l
e;;;;s;s;;;;;;p;s;;;;f;n;;;;n;l
e;;e;;s;s;;;;;;p;;;;n;;;;;b;n;l
e;;e;;;s;w;;;;;;;w;v;;f;n;;;;;l
e;;e;;s;;w;;;;;;;w;v;;f;n;;;;;l
e;;;;s;s;;;;;;p;s;;v;;;;;;b;n;l
e;k;e;;s;;;;;;;;s;;;n;f;n;;;;;l
e;k;e;;s;;;;;;;;;;;n;f;n;;c;;;l
e;;;;s;s;;;;;;p;s;n;v;;;;;;b;;l
e;;e;?;s;s;;;;;;;s;;;;f;n;;c;b;;l
e;;e;b;s;;;;;;;p;;;;;;;;;;;p
e;;e;;;;;;;;t;p;;;;;t;n;;;;;p
;;e;b;s;;;;;;;p;;w;;;;n;;c;;;p
e;;e;b;s;s;w;;;;;;;;;;;;;c;;;p
e;;e;;s;;;;;w;;p;;;;;;n;;c;b;;p
e;;e;;;;w;;;;;p;;w;;;;n;;c;b;;p
e;;e;;;;w;;;;;p;;;;;;n;;c;b;w;p
e;;e;;;;w;;;;t;p;;;;;;n;;c;b;;p
e;;e;;s;s;w;;;;;p;;;;;;n;;c;b;;p
;;e;;s;s;w;w;;;;p;;w;;;t;n;;c;;;p
;;;;;;;;;;;;;;a;;;;;;;h;g
;;;;;;;;;;;;;;a;w;;;;;;;g
;;;;;;;;;;;;;;a;;;;;;;k;g
;;;;;f;;;;;;;;;a;;;;;;;;g
;;;;;;;;;;;;;;a;;;;;;;n;g
;;;;f;;;;;;;;;;a;;;;;;;;g
;;;e;;;;;;;;;;;;;;;;w;;p;g
;;t;;;;;;;;;;;;;;f;;;;b;;g
;;;e;;;;;;;;;;;s;;;;;;;h;g
;f;;e;;;;;;;;e;;;;;;;;;;;g
;;;;;k;;;;;;;f;;;;;;;w;;;g
;;;;k;;;;;;t;;;;;;;;;w;;;g
;;;;;;;;;;t;;;;n;w;;;;;;;g
;;;e;;;;;;;;;f;;;;;;;w;;;g
;;;e;;;;;;;;;s;;;;;;;w;;;g
;;;;;;;;;;t;;;;n;;;;;;;w;g
;;;;k;k;;;;;;;;;;;;;;w;;;g
;;;;;k;;;;;t;;;;;;;;;w;;;g
;;;;;;;;;;;;;;;g;;;;w;;h;g
;;;;;;;;;;t;;;;n;;;;;;;g;g
;f;;;;;;;;;;e;;;;;;;;;;h;g
;k;;;;;;;;;t;;;;n;;;;;;;;g
;f;;;;;;;;;;e;;n;;;;;;;;;g
;f;;;;;;;;;;e;;;;;;;;;;p;g
;;;;;;;;;;t;;f;;;;;;;w;;;g
;;;e;f;;;;;;;;;;s;;;;;;;;g
;;t;;;;;;;;;;f;;;;;;;;;h;g
;;;;;;;;;;;;f;;;;;;;w;;h;g
;f;;;;;;;;;;e;;k;;;;;;;;;g
;;;;;;;;;;;;s;;;;;;;w;;h;g
;;;e;;;;;;;;;;n;;;;;;w;;;g
;;;e;;;;;;;;;;k;;;;;;w;;;g
;;;;;;;;;;t;;;;;;;;;w;;p;g
;;;e;;;;;;;;;;;;n;;;;w;;;g
;;;;f;;;;;;;;;;;w;;;;;;k;g
;;;?;;;;;;;;;s;;n;;;;;;;;g
;;;;;f;;;;;;;;;;w;;;;;;k;g
;;;;;;w;;;;;;;;;;f;;;;b;;g
;;;;;;;w;;;;;;;;;f;;;;b;;g
;;;e;;;;;;;;;;;;g;;;;w;;;g
;;t;;;;;;;;;;;;;g;f;;;;;;g
;;;e;;f;;;;;;;;;s;;;;;;;;g
;;;;;;;;;;t;;;;;g;;;;w;;;g
;f;;;;;;;;;;e;;;;g;;;;;;;g
;;;;f;f;;;;;;;;;;;;;;;;k;g
;x;e;?;;k;;;;;;;;;;;;;;;;;g
;x;;;f;;;;;;;;;;;g;;n;;;;;g
;;;;;;;;;;;p;f;;;w;;n;;;;;g
;f;;;f;;;;;;;e;;;s;;;;;;;;g
;;;;;;;;;;;;s;;;n;;;;w;;p;g
;;;;;;;;;;;;s;k;;n;;;;w;;;g
;x;;;;;;;;;;;f;;;w;;n;;;;;g
;;;;;;;;;;;;f;;;n;;;;w;;n;g
;f;;;;f;;;;;;e;;;;w;;;;;;;g
;x;;;f;;;;;;;;;;s;;;n;;;;;g
;;;?;;;;;;;;;s;;s;;;;;;;w;g
;;;;f;;;;;;;;;;s;g;;;;w;;;g
;;;;f;;;;;;;;s;;;w;;;;w;;;g
;;;;;f;;;;;;;s;;;;;;;w;;p;g
;;;;f;;;;;;;;s;;;g;;;;w;;;g
;b;;;k;;;;;;;;f;;;;;;;w;;;g
;;;;;f;;;;;;;s;;;g;;;;w;;;g
;;;;f;;;;;;;;s;;;;;;;w;;p;g
;;;;;f;;;;;;;;;s;;;;;w;;p;g
;;;;;;;;;;;p;;;;;;n;;w;;p;g
;;;;f;;;;;;;;;;s;n;;;;w;;;g
;;t;;f;;w;;;;;;;;;;f;;;;;;g
;f;;;;f;;;;;;e;s;;;;;;;;;;g
;x;;;;;;;;;;e;;n;;;;n;;;;;g
;x;;;;;;;;;;;;n;;;;n;;w;;;g
;;;?;;;;;;;t;;s;;;w;;;;;;;g
;;e;;k;;w;;;;;;;;;;;;;;;g;g
;x;;;;;;;;;;;s;k;;;;n;;;;;g
;x;;e;;;;;;;;e;;;;;;n;;;;;g
;;;;k;;;;;;;;;;s;;;;;w;;w;g
;;;;k;;;;;;;;;;;g;;;;w;;w;g
;x;;;;;;;;;;;s;;;;;n;;;;h;g
;;;;;f;;;;;;;s;;s;;;;;w;;;g
;;;;f;;;;;;;;;;;n;;;;w;;p;g
;;;;;;;;;;;;f;n;;n;;;;w;;;g
;k;;;k;;;;;;;;;;s;;;;;w;;;g
;;;;;;;;;;;;f;k;;n;;;;w;;;g
;;;;;f;;;;;;;;;s;g;;;;w;;;g
;x;;;;f;;;;;;;s;;;;;n;;;;;g
;;t;;;s;;;;;;;;;;;f;;;;;p;g
;;;;f;;;;;;;;;;;g;;;;w;;p;g
;x;;;;;;;;;;e;;;;;;n;;;;p;g
;;;?;;;;;;;;;s;w;;;;;;w;;;g
