Attribute 0;Attribute 1;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 2;Attribute 20;Attribute 21;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 22
;;t;;;;w;w;;;;;;;;;f;;;;;h;g
e;;;;;s;w;;;;;;s;;;;f;;;;;;g
e;;;;s;;w;;;;;;s;;;;f;;;;;;g
;;;?;;s;w;;;;;;;;;;f;n;;;;;g
;;;?;;s;;;;w;;;;;;;f;n;;;;;g
;;;;;;;w;;;o;;s;;;n;;;;;b;;g
;;;;;;w;;;;o;;s;;;n;;;;;b;;g
;;;;;;;;;w;o;;s;;;n;;;;;b;;g
e;;;;;;w;w;;;;;;;s;;f;;;;;;g
e;;e;;;;;;;;;p;f;;;;;;;w;;;g
e;;e;;;;;w;;;;;f;;;;;;;w;;;g
e;;;;;;w;;;;;;s;;;;f;n;;;;;g
;;;;;;;;;w;o;;;;;;f;n;;;b;;g
e;;;;;;;;;w;o;;;;;;f;;;;b;;g
;;;?;k;;;w;;;;;;w;;;;n;;;;;g
;;;?;;;;;;;;;s;w;;;f;;;;b;;g
e;;;;;;w;;;;;;s;w;;;f;;;;;;g
e;;;?;;;w;;;;;;s;;;;f;;;;;;g
;;;?;;;;;;w;;;s;;;;f;;;;b;;g
;;t;;;f;w;w;;;;;;;;;f;;;;;;g
;;;;;;;;;w;o;;;;;n;f;;;;b;;g
;;;;;;;;;w;o;;s;;;;f;;;;b;;g
;;;e;;;w;w;;;;;s;;;;;;;;b;;g
;;;;;;w;w;;;;;;;;;f;n;;w;;;g
e;;;;;;w;w;;;;;;;;;f;;;w;;;g
;;;e;;;w;w;;;;;;;;w;;;;;b;;g
;;;e;;;w;w;;;;;;;s;;;;;;b;;g
;;t;;;;w;w;;;;;;;s;;f;;;;;;g
;;;?;s;;w;;;;;;;w;;;f;n;;;;;g
e;f;;;;;;;;w;o;;s;;;;;;;;b;;g
e;f;;;;;w;;;;o;;s;;;;;;;;b;;g
;;;e;s;;w;w;;;;;;;;w;f;;;;;;g
;;t;;s;;w;w;;;;;;;;w;f;;;;;;g
e;;;;;;w;w;;;;;s;;;g;f;;;;;;g
e;;e;;;;w;;;;;p;s;;;;f;;;;;;g
e;;;;;;w;;;;o;e;;;;;;n;;;b;;g
;;;;;;w;w;;;;;s;;;w;f;n;;;;;g
e;;t;;;;w;w;;;;;;;;w;;;;;b;;g
;;;;;;w;w;;;o;;;;;w;;n;;;b;;g
;;t;;;;w;w;;;;;;n;;;f;;;w;;;g
e;;t;;;;w;w;;;;;s;;;;;;;;b;;g
e;;;;;;w;w;;;;;;k;;w;f;;;;;;g
;;;e;;s;w;w;;;;;;;;w;f;;;;;;g
;;t;;;s;w;w;;;;;;;;w;f;;;;;;g
e;;;;;;w;w;;;;;s;;;;;;;w;b;;g
;;;;;;w;w;;;;;;;;w;;n;;w;b;;g
;;;e;s;;w;w;;;;;s;;;;f;;;;;;g
;;;e;;s;w;w;;;;;s;;;;f;;;;;;g
e;;;;;;w;w;;;;;s;;;;;;;;b;p;g
;;;?;;;w;w;;;;;;w;;;f;n;;;;;g
;;e;;;;w;w;;;;;;w;;;f;n;;;;;g
;;;;;;w;w;;;;p;;;;;;n;;w;b;;g
e;;;;;;w;w;;;;;s;k;;;f;;;;;;g
;;;e;;s;w;w;;;;;;;s;;f;;;;;;g
;;t;;;;w;w;;;;;;;;;f;;;w;;n;g
e;;;;;;w;w;;;;;f;;;w;;;;;b;;g
;;;e;s;;w;w;;;;;;;s;;f;;;;;;g
e;;;;;;w;w;;;;;;;;;;;;w;b;p;g
e;;e;;;;w;;;;;p;;w;;;f;n;;;;;g
e;;e;?;;;;;;w;;;;;;;f;n;;;b;;g
e;;;;;s;w;w;;;;;f;;;w;f;;;;;;g
e;;e;;;;w;w;;;;p;;;;w;f;;;;;;g
e;;e;;;s;;;;;;;;w;;;f;n;;;b;;g
e;;t;;;;w;w;;;;;;n;;;;;;w;b;;g
;;t;;s;;w;w;;;;;;k;;;f;;;w;;;g
e;;t;;;;w;w;;;;;f;n;;;f;;;;;;g
e;;t;;;;w;w;;;;;;;;;;;;w;b;n;g
e;;;;s;s;w;w;;;;;;;;w;f;;;;;;g
;;;;s;s;w;w;;;;;;;;w;f;n;;;;;g
e;f;t;;;;w;;;;;;f;;;;f;;;w;;;g
;;t;;;s;w;w;;;;;;k;;;f;;;w;;;g
e;;;;;s;w;w;;;;e;;;;;f;n;;;;;g
e;;e;;;;w;w;;;;p;;;n;;f;;;;;;g
e;;e;;s;;;;;;;;;w;;;f;n;;;b;;g
e;;;;s;;w;w;;;;e;;;;;f;n;;;;;g
e;;;;s;;w;w;;;;;f;;;w;f;;;;;;g
;;e;;;;w;w;;;t;p;;;;w;f;n;;;;;g
e;;e;?;s;;w;;;;;p;;;;;f;n;;;;;g
;;;;;;g;g;;;;;;;;;;;;;;;d
;;;;;;;;;;;;;;v;;;;;;;u;d
;;;;;s;;;;;;;;;;;;;;;;u;d
;;;;;;;g;;;;;;;;;;;;;;w;d
;;;;;;;g;;;;;;;;n;;;;;;;d
;x;;;;;;;;;;;;;;;;;;;;u;d
;;;;;;g;;;;;;y;;;;;;;;;;d
;f;;;;;;g;;;;;;;;;;;;;;;d
;;;;;;g;p;;;;;;;;;;;;;;;d
;;;;;;g;;;;;;;;;n;;;;;;;d
;;;;;;;g;;;;;;;y;;;;;;;;d
;;;;;;;g;;;;;;;;;;;;;;n;d
;;;;;;;g;;;;;;;;g;;;;;;;d
;;;;;;;g;;;;;f;;;;;;;;;;d
;;;;;;;g;;;;;;n;;;;;;;;;d
;;;;;;g;;;;;;;;;;;;;;;p;d
;;;;;;g;;;;;;;;;;;;;;;n;d
;f;;;;;g;;;;;;;;;;;;;;;;d
;;;;;;p;g;;;;;;;;;;;;;;;d
;;;;;;g;;;;;;;;;;;;;;;w;d
;;;;;;g;;;;;;;;;e;;;;;;;d
;;;;;;g;;;;;;;;;g;;;;;;;d
;;;;;;;g;;;;;;k;;;;;;;;;d
;;;;;;g;;;;;;f;;;;;;;;;;d
;;;;;;g;;;;;;;n;;;;;;;;;d
;;;;;;;g;;;;;y;;;;;;;;;;d
;;;;;;g;;;;;;;k;;;;;;;;;d
;;;;;;g;;;;;;;;y;;;;;;;;d
;;;;;;;g;;;;;;;;;;;;;;p;d
;;;;;;;w;;;;;;;;;;;;;;u;d
;;;;;;w;;;;;;;;;;;;;;;u;d
;;;;;;;g;;;;;;;;e;;;;;;;d
;;;;;;;;;;;;f;;y;e;;;;;;;d
;;;;;;p;;;;;;f;n;;;;;;;;;d
;;;;;;p;;;;;;f;k;;;;;;;;;d
;;;;;;;p;;;;;y;n;;;;;;;;;d
;f;;;;;;p;;;;;;k;;;;;;;;;d
;;;;;;;;;;;;y;;y;e;;;;;;;d
;;;;;;;;;;;;y;k;;e;;;;;;;d
;f;;;;;;;;;;;y;;;;;;;;;u;d
;;;;;;;;;;;;f;k;;;;;;;;u;d
;;;;;;;;;;;;y;n;;e;;;;;;;d
;;;b;s;;;p;;;;;;;;;;;;;;;d
;;;;;;;;;;;;;k;y;e;;;;;;;d
;;;;;;;p;;;;;y;k;;;;;;;;;d
;;;;;;p;;;;;;y;k;;;;;;;;;d
;;;;;;;;;;;;f;n;;;;;;;;u;d
;;;;;;;;;;;;f;k;;e;;;;;;;d
;f;;;;;p;;;;;;;n;;;;;;;;;d
;f;;;;;p;;;;;;;k;;;;;;;;;d
;;;;;;;;;;;;y;;y;;;;;;;u;d
;;;b;;;;;;;;;;n;;;;;;;n;;d
;f;;;;;;;;;;;f;;;e;;;;;;;d
;;;;s;;;;;;;;;;;;;;;c;;u;d
;f;;;;;;;;;;;;n;;e;;;;;;;d
;;;;;;;;;;;;f;n;;e;;;;;;;d
;f;;;;;;;;;;;;k;;e;;;;;;;d
;;;;;;;;;;;;;n;y;e;;;;;;;d
;x;;;;;p;;;;;;;;;;;n;;;;;d
;x;;;;;;;;;;;f;;;;t;;;;;;d
;x;;;;;;p;;;;;;;;;;n;;;;;d
;;;;;;p;;;;;;y;n;;;;;;;;;d
;f;;;;;;;;;;;;;y;e;;;;;;;d
;;;b;s;;p;;;;;;;;;;;;;;;;d
;f;;;;;;p;;;;;;n;;;;;;;;;d
;;;;;;;p;;;;;f;n;;;;;;;;;d
;f;;;;;;;;;;;;;y;;;;;;;u;d
;;;;;;;p;;;;;f;k;;;;;;;;;d
;;;b;;;;w;;;;p;;n;;;;;;;;;d
;;;;;;;;;;o;;y;;;;;n;;c;;;d
;;;b;;;;;;;o;p;;;;;f;;;;;;d
;x;;;;;;;;;;;y;;;;;n;;;;p;d
;;t;b;;;;;;;;p;;n;;;;;;;;;d
;;;b;;;;w;;;;p;;k;;;;;;;;;d
;;;b;;;;;;;;p;;k;v;;;;;;;;d
;x;;;;;;g;;;;;;;;;t;n;;;;;d
;x;;;;;g;;;;;;;;;;t;n;;;;;d
;;;b;;;p;;;;;p;;;v;;;;;;;;d
;;;b;;;;p;;;;p;;;v;;;;;;;;d
e;;;b;;;;;;;o;;;;;;;;;c;;;d
;;;b;;;w;;;;;p;;k;;;;;;;;;d
;;t;;;;;;;;;;;;;n;;;;c;b;;d
;;;b;s;;;;;;;;f;;;g;;;;;;;d
;;;b;;;;;;;;p;f;;v;;;;;;;;d
;;;b;s;;;;;;;;y;;;;;;;;;p;d
;;;b;;;w;;;;;p;f;;;;;;;;;;d
;;;b;s;;;;;;;;;;y;;;;;;;p;d
;x;;;;;;;;;;;;n;;;t;n;;;;;d
;;;b;s;;;;;;;;f;;;;;;;c;;;d
;;;b;;;;;;;;p;;;v;;;;;;n;;d
;;;;;;;;;;;;y;;v;;;n;;;;p;d
;x;;;;;;;;;;;;;;;t;n;;;;n;d
;;;b;;;;w;;;;p;f;;;;;;;;;;d
;;t;b;;;;;;;;p;;;;;;;;;;n;d
;;;b;s;;;;;;;;f;;y;;;;;;;;d
;;;;s;;;;;;;;f;;y;;;;;;b;;d
;x;;;;;;;;;;;;k;;;t;n;;;;;d
;;;;;;;;;;o;;;;;;;n;;c;;w;d
;;;b;;;;;;;;p;;;v;;;;;;;n;d
;x;;;;;;;;;;;;;;;t;n;;;;p;d
;;t;b;;;;;;;;p;f;;;;;;;;;;d
;;;b;;;w;;;;;p;;;;;;;;;;n;d
;;;b;;;w;;;;;p;;n;;;;;;;;;d
;;;b;;;;w;;;;p;;;;;;;;;;n;d
p;;e;;;;w;;;;;;f;;;;;;;;;;d
p;;e;;;;;;;;;;f;;;;;;;;n;;d
;;;b;s;;;;;;;;f;;;;;;;;;p;d
;;;b;;;;;;;;p;;n;v;;;;;;;;d
;;t;;s;s;;;;;;;y;;;;;;;;b;;d
;;;b;s;;;;;;o;;y;;;;;;;c;;;d
;;;;s;;;;;;;;y;;v;;;;;;b;p;d
;;;b;;;;;;;;p;y;;v;;;;;;;p;d
e;f;t;;;;;;;;;p;f;;;;;;;;;;d
e;;;;;s;;;;;;p;;;;;t;;;;;p;d
;;;;;;;;;;;;f;;v;;;n;;c;;w;d
p;x;e;;;;w;;;;;;;;;;f;;;;;;d
e;;t;;;;;;;;;p;f;n;;;;;;;;;d
;x;;;;;;;;;;;;;y;e;t;n;;;;;d
p;;e;;;;w;;;;;;;;;;f;;;c;;;d
p;;e;;;;w;;;;;;;;;;f;;;;n;;d
p;;e;;;;w;;;;o;;;;;;f;;;;;;d
;f;;;;;;;;;;;f;;;;;n;;c;;w;d
;;;b;;;;;;;;p;;;v;;;n;;;;p;d
;;;b;s;s;;;;;;p;;k;;;;;;;;;d
e;;t;;;;;;;;;p;f;;;;;;;;;n;d
e;;t;;;;;;;;;p;f;;v;;;;;;;;d
;;;;;;w;;;;o;;;;;;;n;;c;b;;d
;;;;;;w;;;;o;;f;;;;;;;c;b;;d
e;;t;;;;;;;;;;f;;v;;;;;;;p;d
;;;;;s;;;;;o;;;;;;;n;;;b;w;d
;;;;;;;;;w;o;;;;;;;n;;c;b;;d
;;t;;s;s;;;;;;;;;;e;;;;;b;;d
;;;;s;;;;;;o;;;;;e;;;;c;b;;d
;;;;;;;;;;o;;;;;e;;;f;c;b;;d
;f;;;;;w;;;;;;f;;;;;;;c;b;;d
;;t;;s;s;p;;;;;;;;;;;;;;b;;d
;;t;;;;;;;;;p;;n;v;;t;;;;;;d
e;;;b;;;w;p;;;;p;;;;;;;;;;;d
e;f;;b;;;;;;;;;f;;;g;;;;;;;d
e;;;b;;;p;w;;;;p;;;;;;;;;;;d
;;t;;;;;;;;;p;;;v;;t;;;;;n;d
e;;;;s;;;;;;;;;;;;;n;;;b;u;d
;;t;;s;s;;p;;;;;;;;;;;;;b;;d
e;;;;s;;;;;;;;y;;v;;;;;;;p;d
e;;t;;;;;w;;;;;f;;v;;;;;;;;d
e;;;b;;;;w;;;;p;;;;;;;;;;p;d
;;;;s;;;;;;;;f;;v;;;;;c;b;;d
p;;e;;s;;w;;;;;;;;;;f;;;;;;d
;;e;b;s;;;;;;;p;;;;;f;;;;;;d
;;e;b;;;w;;;;;p;;;;;f;;;;;;d
p;;e;b;s;;;;;;;;;;;;f;;;;;;d
p;x;;b;;;w;;;;;;;;;;f;;;;;;d
;;;b;;;w;w;;;;;;;;;f;;;;n;;d
p;;;b;;;w;;;;o;;;;;;f;;;;;;d
e;;;b;;;w;;;;;p;;;;;;;;;;p;d
e;;t;;;s;;;;;;;;;v;;;;;;;p;d
e;;t;;;;;;;;;p;;;v;;;;;;;p;d
;;;;s;;;;;;o;;f;;;;;;;c;b;;d
e;;;;s;;;;;;;;y;;;;;n;;;;p;d
;;;b;s;s;;;;;;p;f;;;;;;;;;;d
;;;b;;;;;;;;p;;;v;e;t;n;;;;;d
e;;;;;;w;;;;o;;;;;;;n;;;b;w;d
;;;;;s;;w;;;o;;;;;n;;;;c;b;;d
;;;b;s;s;;;;;;p;;;;g;;;;;;n;d
e;;t;;;s;;w;;;;p;;n;;;;;;;;;d
e;;;;;;w;;;;;p;;;v;;t;;;;;p;d
;;;b;s;s;;;;;;p;;n;;;;;;c;;;d
e;;;b;s;s;;;;;o;p;;;;;;;;;;;d
e;;;;;;w;;;;;p;;n;v;;t;;;;;;d
e;;t;;;;w;;;;;p;;n;v;;;;;;;;d
e;;;;;s;;;;;;p;;;y;;t;;;;;n;d
e;f;;;;s;;;;;;p;;n;;;t;;;;;;d
e;;;;s;;;;;;o;;;;v;;;;;c;;w;d
e;;;;;;;w;;;;p;;;;e;t;n;;;;;d
e;f;;;;s;;;;;;p;;k;;;t;;;;;;d
e;;;;;;w;;;;;p;;k;v;;t;;;;;;d
e;;;;;s;;;;;;p;;;;n;t;;;;;n;d
e;;;;;s;;;;;;p;;n;y;;t;;;;;;d
e;;t;;;;;w;;;;p;;;v;;;;;;;n;d
e;;;;;;;w;;;;p;;;v;;t;;;;;n;d
e;;;;;s;;;;;;p;;k;y;;t;;;;;;d
e;;t;;s;s;;;;;;;f;;v;;;;;;;;d
e;;t;;;;;w;;;;p;;n;v;;;;;;;;d
e;;;;;;;w;;;;p;;n;v;;t;;;;;;d
e;;;;s;;;w;;;o;;;;v;;;;;;;w;d
e;;t;;;;w;;;;;p;;;v;;;;;;;n;d
e;;;;;;w;;;;;p;;;v;;t;;;;;n;d
;;;b;;;g;;;;;p;;;v;;t;n;;;;;d
;;;;;s;w;;;;o;;;;;n;;;;c;b;;d
e;;t;;;s;;;;;;p;;n;;;t;;;;;;d
e;f;;;;s;;;;;;p;;;;;t;;;;;n;d
e;f;;;;;;;;;;;f;;;g;;;;c;b;;d
e;;t;;;s;w;;;;;p;;n;;;;;;;;;d
;;;;s;;;;p;w;o;;;;;;;;f;;;u;d
e;;;;;;;w;;;;p;;k;v;;t;;;;;;d
e;;t;;;s;;;;;;p;;;;;t;;;;;n;d
e;;;;s;;;;;;o;;y;;v;;;;;c;;;d
e;;;;;;;w;;;;p;;;v;;t;;;;;p;d
e;;;;;s;;;;;;p;;k;;n;t;;;;;;d
;;;b;;;;g;;;;p;;;v;;t;n;;;;;d
e;;t;;;s;;;;;;p;;k;;;t;;;;;;d
p;;;;;;w;w;;;;p;;;;;f;;;;n;;d
e;;t;;;s;;;;;;p;;n;;;;;;;;p;d
e;;;;;;;;;;o;;f;;;;;n;;;b;w;d
;;;b;s;s;;;;;;p;;n;;;;;;;;p;d
e;;t;;s;s;;;;;;;;;v;;;;;c;;;d
e;f;t;;;s;;;;;;p;;;;;;;;;;p;d
e;;;;;s;;;;;;p;;n;;n;t;;;;;;d
e;;t;;;s;w;;;;;p;;;;;;;;;;n;d
;;;b;s;s;;;;;;p;;;;;;;;c;;n;d
e;;;;;;w;;;;;p;;;;e;t;n;;;;;d
;;;;s;;;w;;;o;;;;;;;n;;c;b;;d
;;;;;s;;;;w;o;;;;;n;;;;c;b;;d
;;;;s;;;;;;o;;;;y;g;;;;c;b;;d
e;;t;;;s;;w;;;;p;;;;;;;;;;n;d
;;;;s;;;;;;o;;y;;v;;;;;c;b;;d
e;;t;;s;s;;;;;;p;;;;;;;;c;;;d
e;;t;;s;s;;;;;;;;;;;;;;c;b;;d
;;;b;s;s;;;;;;p;;n;;g;;;;;;;d
e;f;;;s;s;;;;;o;p;;;;;t;;;;;;d
p;;e;;;;;;;w;o;;;;;;f;;f;;n;;d
e;;;;s;s;;;;;o;;;;;n;;;;c;;w;d
;;;;s;s;;;;;o;;;;;n;;;;c;b;w;d
e;;;;s;s;;;;;;;;;v;;;n;;;b;p;d
e;f;;;s;s;;;;;o;;;;;;;;;c;;w;d
e;;;;s;s;;;;;;;f;;v;g;;;;;b;;d
;;;;s;s;;;;;;p;;k;;n;t;;;;b;;d
e;;;;s;s;;;;;;p;;k;;n;;;;;b;;d
e;;;;s;s;;;;;;;;k;;n;;;;c;b;;d
e;;t;;s;s;w;;;;o;;;;v;;;;;;;;d
e;;t;;s;s;;;;;o;p;f;;;;;;;;;;d
e;;;;s;s;;;;;;p;;k;y;;;;;;b;;d
e;;;;s;s;;;;;o;;y;;;n;;;;c;;;d
;;;;s;s;;;;;o;;y;;;n;;;;c;b;;d
;x;;b;s;s;w;w;;;;;;;;;;;;;n;;d
e;;;;s;s;;;;;o;;;;;g;;;;c;b;;d
e;;;;s;s;;;;;o;p;f;;;;;;;;b;;d
e;f;;;s;s;;;;;o;p;;;;;;;;;;w;d
e;;;;s;s;;;;;o;p;;;;;;;;;b;p;d
e;;;;s;s;;;;;o;;;;;;;;;c;b;p;d
e;;;;s;;;;;;o;;;;;;;n;;c;b;p;d
e;;;;s;s;;;;;;p;;n;y;;;;;;b;;d
;;;b;s;s;w;w;;;;;f;;;;;;;;n;;d
;f;;;s;s;;;;;o;;y;;;;;;;c;b;;d
e;f;;;s;s;;;;;o;;y;;;;;;;c;;;d
;;;b;s;s;w;w;;;;;;;v;;;;;;n;;d
;;;;s;s;;;;;;p;;;;n;t;;;;b;n;d
e;;;b;;;w;g;;;;p;;;;;t;n;;;;;d
e;;;;s;s;;;;;;p;;k;;;;;;;b;p;d
;;;;s;s;;;;;;p;;k;;;t;;;;b;p;d
e;;t;;s;s;;w;;;o;p;;;;;;;;;;;d
;;;;s;s;;;;;;p;y;;;;t;;;;b;p;d
e;;;b;;;g;w;;;;p;;;;;t;n;;;;;d
;;;;s;s;;;;;;p;;k;v;;t;;;;b;;d
e;;;;s;s;;;;;;p;;k;v;;;;;;b;;d
e;;;;s;s;;;;;o;p;f;;;;;;;;;w;d
e;;t;b;s;s;;;;;;;f;;;;;;;;;w;d
e;f;t;b;s;s;;;;;;;f;;;;;;;;;;d
e;;;;s;s;;;;;o;p;;;v;;;;;;;w;d
e;;;;s;s;;;;;o;p;;;v;;t;;;;;;d
e;f;;;s;;;;;;;;;;;;;n;;c;b;p;d
e;f;;;s;s;;;;;;;;;;;;;;c;b;p;d
e;;t;;s;s;;w;;;o;;;;v;;;;;;;;d
e;;;;s;s;;;;;;;;;;n;;;;c;b;p;d
e;;;;s;s;;;;;;p;;;;n;;;;;b;p;d
;;;;s;s;;;;;;p;;;;n;t;;;;b;p;d
e;;t;;s;s;w;;;;o;p;;;;;;;;;;;d
e;;;;s;s;;;;;;p;;;y;;;;;;b;n;d
e;;;;s;s;;;;;;p;;k;;;;n;;;b;;d
e;;;;s;s;;;;;;;;k;;;;n;;c;b;;d
;f;;;s;s;;;;;;p;;k;;;t;;;;b;;d
;;;b;s;s;;;;;o;p;;;;;;n;;c;;;d
e;f;;;s;s;;;;;;p;;k;;;;;;;b;;d
e;f;;;s;s;;;;;;;;k;;;;;;c;b;;d
e;;t;b;s;s;;;;;;p;;;;;;;;;;p;d
e;;t;;s;s;;;;;o;p;;;;;;;;;;p;d
;;;;s;s;;;;;;p;;n;;n;t;;;;b;;d
;;;b;s;s;w;w;;;;p;s;;;;;;;;n;;d
e;;;;s;s;;w;;;;;f;;v;;;n;;;b;;d
e;;;;s;s;;;;;;p;f;;;;;n;;;b;n;d
e;;;;s;s;;;;;;;f;;;;;n;;c;b;n;d
e;;t;;s;s;;;;w;o;p;;;;;;;f;;;;d
;;;;s;s;;;;;;p;y;n;v;;t;;;;b;;d
;;;b;s;s;;;;w;o;p;;n;;;;;f;;;;d
e;;;;s;s;;;;;;p;f;n;;;;n;;;b;;d
e;;;;s;s;;;;;;;f;n;;;;n;;c;b;;d
e;;;;s;s;;;;;;p;f;;;n;;n;;;b;;d
e;;;;s;s;;;;;;;f;;;n;;n;;c;b;;d
;;;;s;s;;;;;o;p;;;;n;t;;;c;b;;d
e;;;;s;s;;;;;;;;;;g;;n;;c;b;n;d
e;;;;s;s;;;;;;p;;;;g;;n;;;b;n;d
e;;;;s;s;w;;;;;;;n;;;;n;;c;b;;d
e;;;;s;s;w;;;;;p;;n;;;;n;;;b;;d
e;f;;;s;s;;;;w;o;;;;;;;;;c;b;;d
e;;;;s;s;;;;;;p;;n;;;;n;;;b;p;d
e;;;;s;s;;;;;;;;n;;;;n;;c;b;p;d
