buying;doors;lug_boot;maint;persons;safety;decision
high;5more;med;high;4;med;acc
high;4;med;high;more;med;acc
high;4;med;high;4;med;acc
high;3;med;high;more;med;acc
low;5more;small;low;more;med;acc
low;4;small;low;more;med;acc
high;5more;med;high;more;med;acc
med;5more;small;med;more;high;acc
med;2;med;low;4;med;acc
med;4;small;med;more;high;acc
med;3;small;low;more;med;acc
med;2;med;low;more;med;acc
med;3;med;low;4;med;acc
med;5more;med;high;more;med;acc
med;2;med;med;4;high;acc
vhigh;4;med;low;4;med;acc
med;5more;med;high;4;med;acc
med;3;small;med;more;high;acc
med;2;med;med;more;high;acc
vhigh;4;med;low;more;med;acc
med;3;med;med;4;high;acc
low;5more;med;vhigh;more;med;acc
low;5more;med;vhigh;4;med;acc
vhigh;5more;med;low;more;med;acc
low;4;med;vhigh;more;med;acc
low;3;med;high;4;high;acc
low;3;small;high;more;high;acc
low;2;med;high;more;high;acc
low;2;med;high;4;high;acc
med;5more;small;low;more;med;acc
med;4;small;low;more;med;acc
low;3;med;vhigh;more;med;acc
vhigh;5more;med;low;4;med;acc
low;4;med;vhigh;4;med;acc
med;4;med;high;more;med;acc
low;;big;low;4;med;good
low;;big;low;more;med;good
low;;small;low;4;high;good
low;;big;med;4;med;good
low;;small;med;4;high;good
low;;big;med;more;med;good
med;;small;low;4;high;good
med;;big;low;more;med;good
med;;big;low;4;med;good
low;5more;med;med;4;med;good
low;5more;small;med;more;high;good
low;5more;med;med;more;med;good
low;4;med;med;4;med;good
low;4;small;med;more;high;good
low;4;med;med;more;med;good
low;3;med;low;4;high;good
low;3;small;low;more;high;good
low;3;med;low;more;med;good
low;2;med;low;4;high;good
low;2;med;low;more;high;good
low;3;small;med;more;high;good
low;3;med;med;4;high;good
low;3;med;med;more;med;good
low;2;med;med;4;high;good
low;2;med;med;more;high;good
low;5more;med;low;4;med;good
low;5more;small;low;more;high;good
low;5more;med;low;more;med;good
low;4;med;low;4;med;good
low;4;small;low;more;high;good
low;4;med;low;more;med;good
med;2;med;low;4;high;good
med;3;small;low;more;high;good
med;3;med;low;more;med;good
med;4;med;low;4;med;good
med;2;med;low;more;high;good
med;3;med;low;4;high;good
med;5more;small;low;more;high;good
med;5more;med;low;more;med;good
med;4;small;low;more;high;good
med;4;med;low;more;med;good
med;5more;med;low;4;med;good
med;;big;med;4;high;vgood
med;;big;med;more;high;vgood
low;;big;low;4;high;vgood
low;;big;low;more;high;vgood
low;;big;med;more;high;vgood
low;;big;med;4;high;vgood
med;;big;low;more;high;vgood
med;;big;low;4;high;vgood
low;;big;high;more;high;vgood
low;;big;high;4;high;vgood
low;5more;med;med;4;high;vgood
low;5more;med;med;more;high;vgood
low;4;med;med;4;high;vgood
low;4;med;med;more;high;vgood
low;3;med;low;more;high;vgood
low;5more;med;high;more;high;vgood
low;5more;med;high;4;high;vgood
low;4;med;high;4;high;vgood
low;4;med;high;more;high;vgood
low;3;med;med;more;high;vgood
low;5more;med;low;4;high;vgood
low;5more;med;low;more;high;vgood
low;4;med;low;4;high;vgood
low;4;med;low;more;high;vgood
med;5more;med;med;4;high;vgood
med;5more;med;med;more;high;vgood
med;4;med;med;more;high;vgood
med;3;med;low;more;high;vgood
med;4;med;low;4;high;vgood
med;3;med;med;more;high;vgood
med;4;med;med;4;high;vgood
low;3;med;high;more;high;vgood
med;5more;med;low;more;high;vgood
med;4;med;low;more;high;vgood
med;5more;med;low;4;high;vgood
