Attribute 0;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6
low;med;2;4;med;med;acc
high;high;5more;4;med;med;acc
high;high;4;more;med;med;acc
high;high;4;4;med;med;acc
high;high;3;more;med;med;acc
low;low;5more;more;small;med;acc
low;low;4;more;small;med;acc
high;high;5more;more;med;med;acc
med;med;5more;more;small;high;acc
med;low;2;4;med;med;acc
med;med;4;more;small;high;acc
med;low;3;more;small;med;acc
med;low;2;more;med;med;acc
med;low;3;4;med;med;acc
med;high;5more;more;med;med;acc
med;med;2;4;med;high;acc
vhigh;low;4;4;med;med;acc
med;high;5more;4;med;med;acc
med;med;3;more;small;high;acc
med;med;2;more;med;high;acc
vhigh;low;4;more;med;med;acc
med;med;3;4;med;high;acc
low;vhigh;5more;more;med;med;acc
low;vhigh;5more;4;med;med;acc
vhigh;low;5more;more;med;med;acc
low;vhigh;4;more;med;med;acc
low;high;3;4;med;high;acc
low;high;3;more;small;high;acc
low;high;2;more;med;high;acc
low;high;2;4;med;high;acc
med;low;5more;more;small;med;acc
med;low;4;more;small;med;acc
low;vhigh;3;more;med;med;acc
vhigh;low;5more;4;med;med;acc
low;vhigh;4;4;med;med;acc
med;high;4;more;med;med;acc
med;med;;4;big;high;vgood
med;med;;more;big;high;vgood
low;low;;4;big;high;vgood
low;low;;more;big;high;vgood
low;med;;more;big;high;vgood
low;med;;4;big;high;vgood
med;low;;more;big;high;vgood
med;low;;4;big;high;vgood
low;high;;more;big;high;vgood
low;high;;4;big;high;vgood
low;med;5more;4;med;high;vgood
low;med;5more;more;med;high;vgood
low;med;4;4;med;high;vgood
low;med;4;more;med;high;vgood
low;low;3;more;med;high;vgood
low;high;5more;more;med;high;vgood
low;high;5more;4;med;high;vgood
low;high;4;4;med;high;vgood
low;high;4;more;med;high;vgood
low;med;3;more;med;high;vgood
low;low;5more;4;med;high;vgood
low;low;5more;more;med;high;vgood
low;low;4;4;med;high;vgood
low;low;4;more;med;high;vgood
med;med;5more;4;med;high;vgood
med;med;5more;more;med;high;vgood
med;med;4;more;med;high;vgood
med;low;3;more;med;high;vgood
med;low;4;4;med;high;vgood
med;med;3;more;med;high;vgood
med;med;4;4;med;high;vgood
low;high;3;more;med;high;vgood
med;low;5more;more;med;high;vgood
med;low;4;more;med;high;vgood
med;low;5more;4;med;high;vgood
low;low;;4;big;med;good
low;low;;more;big;med;good
low;low;;4;small;high;good
low;med;;4;big;med;good
low;med;;4;small;high;good
low;med;;more;big;med;good
med;low;;4;small;high;good
med;low;;more;big;med;good
med;low;;4;big;med;good
low;med;5more;4;med;med;good
low;med;5more;more;small;high;good
low;med;5more;more;med;med;good
low;med;4;4;med;med;good
low;med;4;more;small;high;good
low;med;4;more;med;med;good
low;low;3;4;med;high;good
low;low;3;more;small;high;good
low;low;3;more;med;med;good
low;low;2;4;med;high;good
low;low;2;more;med;high;good
low;med;3;more;small;high;good
low;med;3;4;med;high;good
low;med;3;more;med;med;good
low;med;2;4;med;high;good
low;med;2;more;med;high;good
low;low;5more;4;med;med;good
low;low;5more;more;small;high;good
low;low;5more;more;med;med;good
low;low;4;4;med;med;good
low;low;4;more;small;high;good
low;low;4;more;med;med;good
med;low;2;4;med;high;good
med;low;3;more;small;high;good
med;low;3;more;med;med;good
med;low;4;4;med;med;good
med;low;2;more;med;high;good
med;low;3;4;med;high;good
med;low;5more;more;small;high;good
med;low;5more;more;med;med;good
med;low;4;more;small;high;good
med;low;4;more;med;med;good
med;low;5more;4;med;med;good
